Issue Type,Summary,Description,Epic Link,Priority,Story Points,Labels
Story,CODE-Admin: Implement GET /admin/users/:id endpoint,Get detailed user information,Public Discovery & Admin Oversight,Medium,2,api-admin
Story,CODE-Admin: Implement PUT /admin/users/:id/status endpoint,Update user account status,Public Discovery & Admin Oversight,High,2,api-admin
Story,CODE-Admin: Implement POST /admin/users/:id/suspend endpoint,Suspend user account,Public Discovery & Admin Oversight,High,2,api-admin
Story,CODE-Admin: Implement POST /admin/users/:id/unsuspend endpoint,Unsuspend user account,Public Discovery & Admin Oversight,Medium,2,api-admin
Story,CODE-Admin: Implement DELETE /admin/users/:id/permanent endpoint,Permanently delete user account,Public Discovery & Admin Oversight,Medium,2,api-admin
Story,CODE-Admin: Implement GET /admin/projects endpoint,List all projects for admin oversight,Public Discovery & Admin Oversight,High,2,api-admin
Story,CODE-Admin: Implement GET /admin/projects/:id endpoint,Get detailed project information with organization and milestones,Public Discovery & Admin Oversight,Medium,3,api-admin
Story,CODE-Admin: Implement GET /admin/milestones endpoint,List all milestones across platform,Public Discovery & Admin Oversight,Medium,2,api-admin
Story,CODE-Admin: Implement GET /admin/organizations endpoint,List all organizations for admin oversight,Public Discovery & Admin Oversight,Medium,2,api-admin
Story,CODE-Admin: Implement DELETE /admin/organizations/:id endpoint,Delete organization (admin only),Public Discovery & Admin Oversight,Low,2,api-admin
Story,CODE-Admin: Create adminController with all methods,Implement all admin management methods,Public Discovery & Admin Oversight,High,8,backend-controllers
Story,CODE-Admin: Create requireAdmin middleware,Verify user has admin role for protected admin routes,Public Discovery & Admin Oversight,High,2,middleware-authorization
Story,UI-Admin: Create AdminDashboard page with 5 tabs,Build admin dashboard with tabbed navigation,Public Discovery & Admin Oversight,High,8,frontend-pages
Story,UI-Admin: Create Overview tab with statistics,Display platform metrics and statistics,Public Discovery & Admin Oversight,Medium,5,frontend-components
Story,UI-Admin: Create Users tab with user management,Build user management interface with actions,Public Discovery & Admin Oversight,High,5,frontend-components
Story,UI-Admin: Create Projects tab with project list,Display all projects with admin actions,Public Discovery & Admin Oversight,High,5,frontend-components
Story,UI-Admin: Create Milestones tab with milestone list,Display all milestones across platform,Public Discovery & Admin Oversight,Medium,3,frontend-components
Story,UI-Admin: Create Organizations tab with org list,Display all organizations with management actions,Public Discovery & Admin Oversight,Medium,3,frontend-components
Story,UI-Admin: Add user details modal,Show detailed user information in modal,Public Discovery & Admin Oversight,Medium,3,frontend-components
Story,UI-Admin: Add project details modal,Show detailed project with organization and milestones in modal,Public Discovery & Admin Oversight,Medium,5,frontend-components
Story,UI-Admin: Add organization details modal,Show detailed organization information in modal,Public Discovery & Admin Oversight,Low,3,frontend-components
Story,UI-Admin: Add TopBar and Footer to admin dashboard,Consistent navigation for admin pages,Public Discovery & Admin Oversight,Low,2,frontend-ui
Story,FIX-Admin: Fix admin route from /dashboard/admin to /admin,Correct admin dashboard routing,Public Discovery & Admin Oversight,High,1,frontend-routing
Story,TEST-UC3: Write browse projects integration tests,Test public project browsing functionality,Public Discovery & Admin Oversight,Medium,5,testing
Story,DOC-UC3: Create UC3 API documentation,Document public project browsing API endpoints,Public Discovery & Admin Oversight,Medium,2,documentation
